period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
201412	11948	11671	277	0.9768162035	0.0231837965	8567.701432012269	203.34618256082584
201501	11857	11610	247	0.9791684237	0.0208315763	8593.907874195847	182.83335442948962
201502	12288	12046	242	0.9803059896	0.0196940104	8916.01507565956	179.11967859120153
201503	14451	14089	362	0.9749498305	0.0250501695	8472.761955620987	217.69748228652116
201504	14865	14583	282	0.9810292634	0.0189707366	8716.817306675002	168.56219436894676
201505	15191	14936	255	0.9832137450	0.0167862550	8865.752351329773	151.3636080335493
201506	14093	13857	236	0.9832540978	0.0167459022	8461.11197952285	144.10207311592646
201507	11629	11423	206	0.9822856651	0.0177143349	8263.291036683862	149.01846743910315
201508	13077	12884	193	0.9852412633	0.0147587367	8572.787852777472	128.41881834725646
201509	17150	16873	277	0.9838483965	0.0161516035	9261.75984964255	152.04809330593176
201510	16875	16604	271	0.9839407407	0.0160592593	8934.601023572517	145.8249143211366
201511	15240	14961	279	0.9816929134	0.0183070866	8914.9300796808	166.24994935037384
201512	13667	13432	235	0.9828052974	0.0171947026	8389.064736698785	146.77115940472117
201601	13615	13409	206	0.9848696291	0.0151303709	8495.107188245594	130.5087687954801
201602	13957	13772	185	0.9867450025	0.0132549975	8507.205365741263	114.27773690547008
201603	16325	16104	221	0.9864624809	0.0135375191	8848.580155641383	121.43170730233143
201604	15894	15668	226	0.9857807978	0.0142192022	8495.71418656302	122.54476679622432
201605	16972	16740	232	0.9863304266	0.0136695734	8723.284290480155	120.89617415719214
201606	15293	15116	177	0.9884260773	0.0115739227	8740.6643274962	102.34834519494758
201607	13559	13397	162	0.9880522162	0.0119477838	8481.475854035301	102.56020663982375
201608	14505	14327	178	0.9877283695	0.0122716305	8777.782474946223	109.05599780417586
201609	16547	16310	237	0.9856771620	0.0143228380	8441.338648288598	122.66077618911083
201610	17455	17242	213	0.9877971928	0.0122028072	8640.311095297991	106.73856068312679
201611	18351	18152	199	0.9891559043	0.0108440957	8504.712919086222	93.23699156556621
201612	16673	16461	212	0.9872848318	0.0127151682	8459.363859537867	108.94752069874417
201701	16392	16169	223	0.9863958028	0.0136041972	8291.174096708657	114.35041273832832
201702	15675	15448	227	0.9855183413	0.0144816587	8272.690321948387	121.5627073460826
201703	18578	18330	248	0.9866508774	0.0133491226	8547.09224005159	115.63987318782293
201704	15109	14915	194	0.9871599709	0.0128400291	8367.99660679561	108.84286568678166
201705	16630	16459	171	0.9897173782	0.0102826218	8555.423121526097	88.8861628155394
201706	15627	15462	165	0.9894413515	0.0105586485	8757.119903219722	93.45005717444407
201707	13471	13365	106	0.9921312449	0.0078687551	8626.097867001256	68.41499243562536
201708	13898	13764	134	0.9903583249	0.0096416751	8202.519515548374	79.85597319699812
201709	14549	14381	168	0.9884528146	0.0115471854	8416.482751799498	98.3220292262232
201710	13983	13800	183	0.9869126797	0.0130873203	8181.860222997193	108.49858121800627
201711	13656	13504	152	0.9888693615	0.0111306385	8208.360078582404	92.39267860963608
201712	12388	12261	127	0.9897481434	0.0102518566	8268.570395806977	85.64623116120104
201801	12666	12552	114	0.9909995263	0.0090004737	7953.742574257426	72.23762376237624
201802	11638	11526	112	0.9903763533	0.0096236467	8212.665717571514	79.80379666562636
201803	12684	12542	142	0.9888047934	0.0111952066	8125.646255153844	91.99822741443516
201804	11634	11507	127	0.9890837201	0.0109162799	7996.514250848852	88.25561048560044
201805	12806	12650	156	0.9878182102	0.0121817898	8075.791140250636	99.59078402206319
201806	12257	12137	120	0.9902096761	0.0097903239	7874.276282838139	77.85393045567906
201807	12093	11991	102	0.9915653684	0.0084346316	7785.342442095258	66.2250795674853
201808	11988	11856	132	0.9889889890	0.0110110110	7710.0912061649515	85.84109642491343
201809	12971	12852	119	0.9908256881	0.0091743119	7997.834386580664	74.05402209796912
201810	14656	14502	154	0.9894923581	0.0105076419	7987.789730881659	84.824135881656
201811	14028	13833	195	0.9860992301	0.0139007699	8058.915783660086	113.6043213918685
201812	11902	11830	72	0.9939505965	0.0060494035	7737.406928739986	47.09157217829916
201901	12727	12629	98	0.9922998350	0.0077001650	7531.473077175385	58.443610860969805
201902	12085	11978	107	0.9911460488	0.0088539512	7693.271117476854	68.72432873351337
201903	13395	13310	85	0.9936543486	0.0063456514	7752.430133480421	49.5083817690335
201904	12812	12698	114	0.9911020918	0.0088979082	7742.536574003784	69.51088119675786
201905	13178	13082	96	0.9927151313	0.0072848687	8000.861123105132	58.71293898624772
201906	11152	11044	108	0.9903156385	0.0096843615	7737.930502958477	75.6697296558779
201907	9850	9778	72	0.9926903553	0.0073096447	7494.66719707265	55.186749661406296
201908	10719	10603	116	0.9891780950	0.0108219050	7598.135113946945	83.12587694217162
201909	12675	12574	101	0.9920315582	0.0079684418	8085.3105070455495	64.94483547094008
